1201	1203	John Wesley United Methodist Church	1689 Old Saint Augustine Rd	Tallahassee, FL 32301	
1205	Optimist Park	1806 Indianhead Dr E	Tallahassee, FL 32301	
1213	1230	Optimist Park	1806 Indianhead Dr E	Tallahassee, FL 32301	
1231	1251	Jack L. McLean Center	700 Paul Russell Rd	Tallahassee, FL 32301	
1255	Faith Christian Family Center	310 Laura Lee Ave	Tallahassee, FL 32301	
1257	Woodville Community Center	8000 Old Woodville Rd	Tallahassee, FL 32305	
1258	Faith Christian Family Center	310 Laura Lee Ave	Tallahassee, FL 32301	
1259	Southwood Community Center	4675 Grove Park Dr	Tallahassee, FL 32311	
1301	Tallahassee Urban League	923 Old Bainbridge Rd	Tallahassee, FL 32303-6097	
1302	Lincoln Neighborhood Center	438 W Brevard St	Tallahassee, FL 32301	
1303	Palmer Munroe Teen Center	1900 Jackson Bluff Rd	Tallahassee, FL 32304	
1304	1309	FAMU Student Union Multi-Purpose Room D	1628 S Martin Luther King Jr. Blvd	Tallahassee, FL 32307	
1311	Bethel AME Church	501 Orange Ave W	Tallahassee, FL 32310	
1313	Smith-Williams Service Center	2295 Pasco St	Tallahassee, FL 32310	
1314	FSU Tucker Center (East Entrance)	505 W Pensacola St	Tallahassee, FL 32301	
1315	Jacob Chapel Baptist Church	2333 Lake Bradford Rd	Tallahassee, FL 32310	
1317	Jake Gaither Community Center	801 Tanner Dr	Tallahassee, FL 32305	
1319	Bethel AME Church	501 Orange Ave W	Tallahassee, FL 32310	
1321	Jack L. McLean Center	700 Paul Russell Rd	Tallahassee, FL 32301	
1327	Southwood Baptist Church	5177 Capital Circle SW	Tallahassee, FL 32305	
1351	Jacob Chapel Baptist Church	2333 Lake Bradford Rd	Tallahassee, FL 32310	
1353	Jacob Chapel Baptist Church	2333 Lake Bradford Rd	Tallahassee, FL 32310	
1355	Southwood Baptist Church	5177 Capital Circle SW	Tallahassee, FL 32305	
1359	Southwood Baptist Church	5177 Capital Circle SW	Tallahassee, FL 32305	
1361	Woodville Community Center	8000 Old Woodville Rd	Tallahassee, FL 32305	
1362	Woodville Community Center	8000 Old Woodville Rd	Tallahassee, FL 32305	
1501	Family Worship and Praise Center	1609 Branch St	Tallahassee, FL 32303	
1502	Family Worship and Praise Center	1609 Branch St	Tallahassee, FL 32303	
1503	Lawrence-Gregory Community Center	1115 Dade St	Tallahassee, FL 32304	
1505	Springfield Community Center	1702 Joe Louis St	Tallahassee, FL 32304	
1507	FSU Tucker Center (East Entrance)	505 W Pensacola St	Tallahassee, FL 32301	
2251	Woodville Community Center	8000 Old Woodville Rd	Tallahassee, FL 32305	
2252	Woodville Community Center	8000 Old Woodville Rd	Tallahassee, FL 32305	
2253	Woodville Community Center	8000 Old Woodville Rd	Tallahassee, FL 32305	
2303	Saint City Ministries	1415 Daniels St	Tallahassee, FL 32310	
2305	Aquilina Howell Conference Center	3955 W Pensacola St	Tallahassee, FL 32304-2837	
2306	Calvary the Cornerstone M.B. Church	1915 Dale St	Tallahassee, FL 32310	
2307	Crossway Baptist Church	405 Crossway Rd	Tallahassee, FL 32305	
2355	Jacob Chapel Baptist Church	2333 Lake Bradford Rd	Tallahassee, FL 32310	
2358	Aquilina Howell Conference Center	3955 W Pensacola St	Tallahassee, FL 32304-2837	
