1002	Canal Point Community Center	12860 U S Hwy 441	Canal Point, FL 33438	
1004	Pierce Hammock Elementary	14255 Hamlin Blvd	Loxahatchee, FL 33470	
1006	Journey Church of Jupiter	12600 W Indiantown Rd	Jupiter, FL 33478	
1008	Journey Church of Jupiter	12600 W Indiantown Rd	Jupiter, FL 33478	
1010	Journey Church of Jupiter	12600 W Indiantown Rd	Jupiter, FL 33478	
1012	Caloosa POA Meeting Room	14000 Caloosa Blvd	Palm Beach Gardens, FL 33418	
1014	Caloosa POA Meeting Room	14000 Caloosa Blvd	Palm Beach Gardens, FL 33418	
1016	Journey Church of Jupiter	12600 W Indiantown Rd	Jupiter, FL 33478	
1018	Calvary Church of Jupiter	10100 W Indiantown Rd	Jupiter, FL 33478	
1019	Calvary Church of Jupiter	10100 W Indiantown Rd	Jupiter, FL 33478	
1020	Caloosa POA Meeting Room	14000 Caloosa Blvd	Palm Beach Gardens, FL 33418	
1022	Journey Church of Jupiter	12600 W Indiantown Rd	Jupiter, FL 33478	
1024	Calvary Church of Jupiter	10100 W Indiantown Rd	Jupiter, FL 33478	
1026	Calvary Church of Jupiter	10100 W Indiantown Rd	Jupiter, FL 33478	
1028	Jupiter Farms Elementary	17400 Haynie Ln	Jupiter, FL 33478	
1030	Calvary Church of Jupiter	10100 W Indiantown Rd	Jupiter, FL 33478	
1032	Jupiter Farms Park Community Pavilion	16655 Jupiter Farms Rd	Jupiter, FL 33478	
1034	West Jupiter Recreation Center	6401 Indiantown Rd	Jupiter, FL 33458	
1036	Calvary Church of Jupiter	10100 W Indiantown Rd	Jupiter, FL 33478	
1038	William T Dwyer High	13601 N Military Trl	Palm Beach Gardens, FL 33418	
1040	West Jupiter Recreation Center	6401 Indiantown Rd	Jupiter, FL 33458	
1042	West Jupiter Recreation Center	6401 Indiantown Rd	Jupiter, FL 33458	
1044	Limestone Creek Elementary	6701 Church St	Jupiter, FL 33458	
1046	West Jupiter Recreation Center	6401 Indiantown Rd	Jupiter, FL 33458	
1048	St Peter Catholic Church	1701 Indian Creek Pkwy	Jupiter, FL 33458	
1050	Lighthouse Elementary	4750 Dakota Dr	Jupiter, FL 33458	
1052	Beacon Cove Intermediate School	150 School House Rd	Jupiter, FL 33458	
1054	Limestone Creek Elementary	6701 Church St	Jupiter, FL 33458	
1056	West Jupiter Recreation Center	6401 Indiantown Rd	Jupiter, FL 33458	
1058	St Peter Catholic Church	1701 Indian Creek Pkwy	Jupiter, FL 33458	
1060	West Jupiter Recreation Center	6401 Indiantown Rd	Jupiter, FL 33458	
1062	Harvest Community Church	100 S Pennock Ln	Jupiter, FL 33458	
1064	Jupiter Community Center	200 Military Trl	Jupiter, FL 33458	
1066	Jupiter Community Center	200 Military Trl	Jupiter, FL 33458	
1068	Jupiter Community Center	200 Military Trl	Jupiter, FL 33458	
1070	Jupiter Community Center	200 Military Trl	Jupiter, FL 33458	
1072	Jerry Thomas Elementary	800 Maplewood Dr	Jupiter, FL 33458	
1074	Independence Middle	4001 Greenway Dr	Jupiter, FL 33458	
1075	Martinique Clubhouse	1812 Dakota Dr	Jupiter, FL 33458	
1076	The Island Clubhouse	179 Freeport Dr	Jupiter, FL 33458	
1078	First Baptist Church Teq	423 Tequesta Dr	Tequesta, FL 33469	
1080	First Baptist Church Teq	423 Tequesta Dr	Tequesta, FL 33469	
1082	First Baptist Church Teq	423 Tequesta Dr	Tequesta, FL 33469	
1084	First Baptist Church Teq	423 Tequesta Dr	Tequesta, FL 33469	
1088	First Baptist Church Teq	423 Tequesta Dr	Tequesta, FL 33469	
1094	First Baptist Church Teq	423 Tequesta Dr	Tequesta, FL 33469	
1096	First Baptist Church Teq	423 Tequesta Dr	Tequesta, FL 33469	
1098	Riverside Improvement	25 Van Rd	Jupiter, FL 33469	
1100	Jupiter Elementary	200 S Loxahatchee Dr	Jupiter, FL 33458	
1102	Jupiter High	500 N Military Trl	Jupiter, FL 33458	
1104	Jupiter Branch Library	705 Military Trl	Jupiter, FL 33458	
1106	Jupiter Middle	15245 N Military Trl	Jupiter, FL 33458	
